age,global,global_sigma,nh,nh_sigma,sh,sh_sigma,deltaT,deltaT_sigma,deltaT_atl,deltaT_atl_sigma
20.1,-3.439982562,0.123112456,-3.48597077,0.16069821,-3.367462872,0.174186087,-0.118507898,0.228695653,-1.291528063,0.362701584
20.2,-3.455228846,0.124472827,-3.513357622,0.164429169,-3.363564463,0.173582768,-0.149793159,0.231660117,-1.312927337,0.377125481
20.3,-3.4646901,0.121308748,-3.531694294,0.159822189,-3.359029898,0.175601003,-0.172664396,0.232902188,-1.32370852,0.374577406
20.4,-3.473291288,0.121179322,-3.536692931,0.156556854,-3.373312019,0.177991573,-0.163380913,0.230422963,-1.312157853,0.374306872
20.5,-3.483716772,0.12128253,-3.544470958,0.154905243,-3.387912329,0.173673708,-0.15655863,0.221771054,-1.316368734,0.371393493
20.6,-3.492931913,0.12090387,-3.552578638,0.154784526,-3.398873847,0.173973144,-0.153704791,0.222805645,-1.333854825,0.363062988
20.7,-3.502659211,0.120814508,-3.563407167,0.153589477,-3.406864591,0.174055008,-0.156542577,0.220975617,-1.356446155,0.36383359
20.8,-3.5111402,0.120730294,-3.567745994,0.154743976,-3.421877435,0.173242293,-0.145868559,0.222197987,-1.371137779,0.37364257
20.9,-3.515010102,0.122730377,-3.568800209,0.156792942,-3.430187448,0.176224706,-0.138612761,0.225098915,-1.374099701,0.375489626
21,-3.522870427,0.125155117,-3.576686208,0.161643604,-3.438007288,0.176173814,-0.13867892,0.228231246,-1.370401869,0.365421924
21.1,-3.532651259,0.124931228,-3.587733507,0.164490762,-3.445791005,0.172084557,-0.141942502,0.228890542,-1.384469596,0.368650912
21.2,-3.542003448,0.122486461,-3.598939716,0.15933247,-3.452219554,0.173309464,-0.146720163,0.226550241,-1.398659854,0.374102011
21.3,-3.553634485,0.119825322,-3.612393601,0.159967706,-3.460976107,0.170590152,-0.151417494,0.230293046,-1.402585028,0.37766357
21.4,-3.570371661,0.12308527,-3.631845366,0.165142959,-3.473432593,0.174888245,-0.158412773,0.237618458,-1.406080431,0.384766352
21.5,-3.582835228,0.124399479,-3.64735495,0.165578975,-3.481092838,0.174210132,-0.166262113,0.234686257,-1.413424152,0.380326848
21.6,-3.582414643,0.121157254,-3.651299942,0.165254716,-3.473788091,0.167600499,-0.177511851,0.23337074,-1.424070025,0.367078726
21.7,-3.582531156,0.120615184,-3.657042868,0.162385926,-3.465032205,0.168066659,-0.192010663,0.229885555,-1.441335871,0.35735026
21.8,-3.578120245,0.126732306,-3.656575336,0.163994549,-3.454402904,0.171960395,-0.202172432,0.223589596,-1.475619923,0.358744962
21.9,-3.56430406,0.126179802,-3.636850363,0.163210925,-3.449904401,0.175393696,-0.186945963,0.227747316,-1.49819715,0.358609016
22,-3.553660873,0.130652938,-3.620615916,0.1701746,-3.44807818,0.178522944,-0.172537736,0.234143798,-1.522681742,0.355952489
